csv_name,frame,face_id,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
1.csv,0,0,0.98,1,0.76,0.96,0.22,0.0,0.0,0.35,0.0,0.16,0.04,0.23,1.14,0.57,0.23,0.0,0.0,0.0,0.17
1.csv,1,0,0.98,1,0.74,0.47,0.07,0.0,0.0,0.26,0.0,0.05,0.01,0.08,0.6,0.25,0.08,0.0,0.34,0.32,0.06
1.csv,2,0,0.98,1,0.49,0.15,0.04,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.31,0.06,0.0,0.0,0.56,0.51,0.02
1.csv,3,0,0.98,1,0.19,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.01,0.0,0.0,0.72,0.62,0.02
1.csv,4,0,0.98,1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.67,0.68,0.08
1.csv,5,0,0.98,1,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.77,0.82,0.08
1.csv,6,0,0.98,1,0.01,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.88,0.96,0.09
1.csv,7,0,0.98,1,0.22,0.0,0.19,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.8,0.79,0.03
1.csv,8,0,0.98,1,0.52,0.0,0.1,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.28,0.01,0.0,0.0,0.73,0.61,0.01
1.csv,9,0,0.98,1,0.51,0.07,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.3,0.24,0.0,0.0,0.88,0.56,0.0
1.csv,10,0,0.98,1,0.45,0.07,0.69,0.0,0.0,0.44,0.0,0.0,0.0,0.12,0.47,0.44,0.0,0.03,0.71,0.45,0.0
1.csv,11,0,0.77,1,0.14,0.07,0.73,0.0,0.06,0.29,0.0,0.0,0.0,0.12,0.4,0.68,0.06,0.03,0.88,0.77,0.0
1.csv,12,0,0.98,1,0.14,0.0,0.93,0.0,0.07,0.29,0.0,0.0,0.0,0.12,0.36,0.59,0.28,0.03,1.04,0.99,0.0
1.csv,13,0,0.98,1,0.0,0.0,0.39,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.06,0.41,0.28,0.0,1.71,1.55,0.0
1.csv,14,0,0.98,1,0.0,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.21,0.0,2.01,1.64,0.0
1.csv,15,0,0.98,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.0,0.0,1.88,1.46,0.0
1.csv,16,0,0.98,1,0.03,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.0,0.0,1.67,1.33,0.03
1.csv,17,0,0.98,1,0.08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.0,0.0,1.59,1.22,0.03
1.csv,18,0,0.98,1,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.0,0.0,1.43,1.04,0.03
1.csv,19,0,0.98,1,0.48,0.0,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.21,0.0,0.0,1.19,0.74,0.0
1.csv,20,0,0.98,1,0.43,0.0,0.16,0.22,0.03,0.0,0.0,0.0,0.0,0.0,0.38,0.23,0.0,0.0,0.84,0.45,0.0
1.csv,21,0,0.98,1,0.2,0.29,0.29,0.22,0.22,0.2,0.08,0.25,0.16,0.0,0.7,0.12,0.0,0.15,0.57,0.5,0.0
1.csv,22,0,0.88,1,0.27,0.44,0.28,0.2,0.24,0.2,0.08,0.25,0.16,0.0,0.59,0.03,0.0,0.15,0.61,0.42,0.0
1.csv,23,0,0.98,1,0.38,0.52,0.21,0.07,0.21,0.2,0.08,0.25,0.16,0.0,0.47,0.05,0.0,0.15,0.68,0.66,0.0
1.csv,24,0,0.98,1,0.4,0.23,0.08,0.23,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.94,0.95,0.0
1.csv,25,0,0.98,1,0.13,0.08,0.06,0.35,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.47,0.0,0.0,0.8,1.33,0.0
1.csv,26,0,0.98,1,0.02,0.0,0.0,0.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.09,0.0,0.71,1.43,0.0
1.csv,27,0,0.98,1,0.04,0.0,0.1,0.53,0.11,0.03,0.0,0.0,0.0,0.0,0.12,0.57,0.09,0.0,0.65,1.0,0.0
1.csv,28,0,0.98,1,0.04,0.08,0.1,0.48,0.08,0.03,0.0,0.0,0.0,0.0,0.12,0.49,0.09,0.0,0.65,0.63,0.0
1.csv,29,0,0.98,1,0.2,0.08,0.12,0.26,0.09,0.03,0.0,0.0,0.0,0.0,0.12,0.38,0.0,0.0,0.47,0.26,0.0
1.csv,30,0,0.98,1,0.35,0.08,0.03,0.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.34,0.0
1.csv,31,0,0.98,1,0.38,0.0,0.17,0.1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.05,0.25,0.34,0.0
1.csv,32,0,0.98,1,0.21,0.26,0.34,0.15,0.13,0.32,0.19,0.36,0.0,0.0,0.12,0.21,0.0,0.1,0.23,0.55,0.0
1.csv,33,0,0.98,1,0.22,0.35,0.33,0.13,0.11,0.32,0.19,0.36,0.01,0.0,0.15,0.19,0.02,0.1,0.2,0.57,0.0
1.csv,34,0,0.98,1,0.2,0.35,0.24,0.1,0.13,0.32,0.19,0.36,0.1,0.0,0.2,0.36,0.18,0.22,0.15,0.7,0.0
1.csv,35,0,0.98,1,0.2,0.09,0.1,0.07,0.2,0.08,0.0,0.0,0.22,0.0,0.08,0.57,0.35,0.44,0.09,0.45,0.0
1.csv,36,0,0.98,1,0.01,0.0,0.17,0.02,0.37,0.2,0.0,0.0,0.32,0.0,0.05,0.68,0.51,0.66,0.0,0.37,0.0
1.csv,37,0,0.98,1,0.0,0.0,0.12,0.02,0.53,0.58,0.0,0.0,0.46,0.0,0.0,0.45,0.59,0.72,0.0,0.15,0.0
1.csv,38,0,0.98,1,0.0,0.0,0.08,0.0,0.65,0.85,0.0,0.0,0.62,0.0,0.0,0.35,0.55,0.69,0.1,0.22,0.0
1.csv,39,0,0.98,1,0.0,0.0,0.03,0.0,0.72,1.01,0.0,0.0,0.71,0.0,0.0,0.27,0.37,0.76,0.2,0.17,0.0
1.csv,40,0,0.98,1,0.0,0.0,0.11,0.0,0.77,0.8,0.08,0.04,0.79,0.0,0.0,0.29,0.13,0.69,0.2,0.2,0.0
1.csv,41,0,0.98,1,0.0,0.0,0.13,0.0,0.8,0.81,0.16,0.07,0.81,0.0,0.0,0.22,0.0,0.52,0.13,0.05,0.0
1.csv,42,0,0.98,1,0.0,0.0,0.24,0.0,0.85,0.67,0.16,0.12,1.04,0.0,0.0,0.11,0.29,0.23,0.03,0.02,0.14
1.csv,43,0,0.98,1,0.48,0.4,0.25,0.0,0.62,0.61,0.07,0.26,0.79,0.0,0.23,0.05,0.29,0.06,0.14,0.12,0.14
1.csv,44,0,0.98,1,0.6,0.4,0.39,0.0,0.44,0.25,0.18,0.23,0.54,0.08,0.5,0.32,0.29,0.45,0.19,0.33,0.14
1.csv,47,0,0.98,1,0.0,0.0,0.6,0.0,0.82,0.99,0.02,0.16,1.02,0.04,0.0,0.21,0.0,0.0,0.0,0.0,1.18
1.csv,48,0,0.98,1,0.0,0.0,0.76,0.0,1.26,1.37,0.03,0.16,1.47,0.04,0.0,0.34,0.06,0.0,0.02,0.0,1.59
1.csv,49,0,0.98,1,0.0,0.0,0.62,0.0,1.43,1.35,0.01,0.09,1.41,0.09,0.0,0.45,0.14,0.0,0.12,0.0,1.22
1.csv,50,0,0.98,1,0.0,0.0,0.46,0.0,1.37,0.84,0.0,0.0,1.29,0.15,0.0,0.5,0.29,0.0,0.13,0.0,0.88
1.csv,51,0,0.98,1,0.0,0.0,0.56,0.0,1.46,0.59,0.0,0.08,1.37,0.27,0.0,0.66,0.46,0.0,0.13,0.0,0.68
1.csv,52,0,0.98,1,0.03,0.0,0.65,0.0,1.42,0.55,0.0,0.13,1.46,0.21,0.0,0.72,0.37,0.07,0.03,0.0,0.8
1.csv,53,0,0.98,1,0.03,0.0,0.67,0.0,1.57,0.68,0.06,0.21,1.49,0.13,0.0,0.92,0.38,0.07,0.01,0.0,0.6
1.csv,54,0,0.98,1,0.68,0.5,0.56,0.0,1.05,0.54,0.06,0.24,0.96,0.0,0.4,0.64,0.15,0.06,0.27,0.02,0.4
1.csv,55,0,0.98,1,0.65,0.5,0.41,0.0,0.98,0.21,0.08,0.21,0.86,0.07,0.4,0.65,0.15,0.09,0.27,0.02,0.17
